epoch,train_loss,time_epoch_sec,time_cum_sec,val_token_precision(%),val_token_recall(%),val_token_f1(%),val_span_micro_p(%),val_span_micro_r(%),val_span_micro_f1(%),val_span_macro_f1(%)
1,37.2748,381.81,381.81,56.01,65.71,60.47,37.81,39.26,38.52,26.58
2,11.6994,345.47,787.31,69.34,67.79,68.56,44.52,41.03,42.7,37.33
3,8.7927,357.66,1159.37,65.26,71.96,68.45,40.65,42.15,41.38,35.72
4,5.395,368.71,1542.52,68.46,73.4,70.84,41.3,42.63,41.96,35.96
5,4.4373,426.01,1984.35,67.61,76.28,71.69,40.86,44.39,42.55,37.98
6,3.194,387.67,2387.06,68.87,73.4,71.06,40.59,41.83,41.2,36.29
7,2.8641,333.34,2735.6,68.56,73.4,70.9,41.55,42.95,42.24,36.7
8,2.4406,354.6,3100.12,68.09,74.2,71.01,40.48,42.95,41.68,37.47
9,2.3655,331.22,3446.28,66.9,75.16,70.79,39.82,43.27,41.47,37.27
10,1.5315,352.33,3817.48,69.35,74.68,71.91,41.1,42.95,42.01,37.69
11,1.3355,325.94,4155.88,71.15,74.68,72.87,41.92,42.79,42.35,37.89
12,1.1617,348.07,4516.07,70.31,75.16,72.66,41.67,43.27,42.45,37.68
